ride_id,driver_id,estimated_fare,actual_fare,estimated_distance,actual_distance,otp_verified,complaint,fraud_label
RIDE45,DRV5,919,865.9,8.3,8.92,False,1,0
RIDE46,DRV96,266,292.87,11.94,11.56,True,0,0
RIDE47,DRV79,1000,932.23,2.87,2.85,True,0,0
RIDE48,DRV96,122,122.16,17.51,18.38,True,0,0
RIDE49,DRV57,343,362.45,7.88,8.01,True,0,0
RIDE50,DRV2,917,983.55,15.27,16.76,True,0,0
RIDE51,DRV8,487,473.48,15.14,16.39,True,0,0
RIDE52,DRV63,215,400.63,3.66,7.23,True,1,1
RIDE53,DRV17,282,276.82,13.49,14.22,True,1,0
RIDE54,DRV27,971,2080.98,5.17,7.67,True,1,1
RIDE55,DRV85,901,1804.3,9.9,14.96,True,1,1
RIDE56,DRV29,201,217.43,16.25,16.01,True,0,0
RIDE57,DRV21,353,402.11,9.38,9.68,True,1,0
RIDE58,DRV40,728,752.59,13.15,12.81,False,1,0
RIDE59,DRV93,796,906.79,18.09,18.44,False,0,0
RIDE60,DRV95,896,815.36,4.83,5.18,True,0,0
RIDE61,DRV59,817,846.73,5.88,6.37,True,0,0
RIDE62,DRV59,782,1709.51,1.71,3.34,False,1,1
RIDE63,DRV71,430,870.15,7.81,13.86,True,1,1
RIDE64,DRV98,215,204.95,13.82,13.53,False,0,0
RIDE65,DRV16,534,920.46,13.66,22.56,False,1,1
RIDE66,DRV66,649,705.02,15.97,15.64,True,0,0
RIDE67,DRV78,745,827.0,9.12,9.13,True,1,0
RIDE68,DRV8,882,877.32,17.21,18.19,False,1,0
RIDE69,DRV72,558,526.24,3.47,3.35,False,0,0
RIDE70,DRV80,580,585.28,19.69,21.47,True,0,0
RIDE71,DRV38,475,950.56,6.08,11.79,True,1,1
RIDE72,DRV30,930,933.31,12.81,13.84,True,0,0
RIDE73,DRV73,713,784.7,2.77,2.79,True,0,0
RIDE74,DRV8,903,812.76,13.49,13.94,False,1,0
RIDE75,DRV3,444,407.22,9.74,10.11,True,0,0
RIDE76,DRV33,928,991.1,14.72,15.74,True,0,0
RIDE77,DRV30,172,163.83,15.3,15.28,True,1,0
RIDE78,DRV92,714,740.35,6.71,6.92,False,1,0
RIDE79,DRV10,347,565.69,16.13,31.25,True,1,1
RIDE80,DRV42,554,565.27,14.51,15.86,True,0,0
RIDE81,DRV85,197,224.07,6.78,7.3,False,1,0
RIDE82,DRV73,404,410.11,10.44,10.98,True,0,0
RIDE83,DRV62,279,269.03,5.39,5.25,True,0,0
RIDE84,DRV76,445,918.61,16.13,21.74,True,1,1
RIDE85,DRV99,830,755.57,17.54,18.32,True,0,0
RIDE86,DRV54,177,184.8,8.16,7.98,True,0,0
RIDE87,DRV62,748,742.88,14.92,15.65,True,0,0
RIDE88,DRV35,483,488.35,15.93,16.28,True,1,0
RIDE89,DRV99,189,211.05,13.36,14.43,False,0,0
RIDE90,DRV96,665,612.84,10.84,11.1,False,1,0
RIDE91,DRV51,901,857.92,10.07,10.13,True,0,0
RIDE92,DRV25,445,488.43,8.4,8.74,True,1,0
RIDE93,DRV94,526,869.13,19.28,32.71,False,1,1
RIDE94,DRV32,223,242.17,3.22,3.12,True,0,0
RIDE95,DRV51,365,369.52,2.66,2.55,True,0,0
RIDE96,DRV47,352,384.63,14.3,15.71,True,0,0
RIDE97,DRV69,972,1030.8,4.66,4.68,False,0,0
RIDE98,DRV85,678,669.21,7.83,7.7,True,0,0
RIDE99,DRV24,319,310.99,19.77,21.28,True,1,0
RIDE100,DRV19,602,542.35,10.88,11.13,True,0,0
RIDE101,DRV27,325,370.17,9.74,9.47,True,0,0
RIDE102,DRV22,635,894.24,14.71,29.06,True,1,1
RIDE103,DRV17,988,890.18,18.41,20.09,True,0,0
RIDE104,DRV31,387,353.07,11.64,12.0,True,0,0
RIDE105,DRV8,921,1053.58,14.0,14.95,True,1,0
RIDE106,DRV23,915,946.73,11.58,12.04,True,0,0
RIDE107,DRV45,623,606.42,2.88,2.75,True,1,0
RIDE108,DRV30,259,279.08,11.39,11.54,False,0,0
RIDE109,DRV73,549,615.18,8.07,8.06,True,0,0
RIDE110,DRV57,814,1325.74,13.19,24.5,True,1,1
RIDE111,DRV90,118,112.76,18.62,19.7,False,0,0
RIDE112,DRV24,371,362.5,6.04,5.96,False,0,0
RIDE113,DRV31,733,767.35,15.54,16.56,True,0,0
RIDE114,DRV99,971,1105.49,19.84,21.56,False,0,0
RIDE115,DRV98,667,654.88,13.12,14.43,False,0,0
RIDE116,DRV59,356,337.54,11.12,12.12,False,0,0
RIDE117,DRV60,815,1753.37,3.92,6.95,True,1,1
RIDE118,DRV62,725,828.2,9.59,10.41,False,1,0
RIDE119,DRV89,116,177.71,2.4,4.37,True,1,1
RIDE120,DRV11,521,531.57,10.41,11.37,True,1,0
RIDE121,DRV72,828,949.35,12.41,12.47,False,0,0
RIDE122,DRV49,841,848.49,14.56,14.87,True,0,0
RIDE123,DRV51,203,195.49,2.51,2.59,True,0,0
RIDE124,DRV35,877,872.72,19.99,21.79,True,1,0
RIDE125,DRV69,128,261.53,4.38,7.43,True,1,1
RIDE126,DRV46,562,984.39,19.98,31.29,True,1,1
RIDE127,DRV95,184,192.92,16.03,15.31,True,0,0
RIDE128,DRV51,251,364.2,15.75,26.31,True,1,1
RIDE129,DRV64,966,1064.93,12.94,12.35,True,0,0
RIDE130,DRV36,848,818.34,3.86,3.91,False,0,0
RIDE131,DRV80,158,150.62,10.91,11.24,True,0,0
RIDE132,DRV27,256,247.87,5.01,5.11,True,0,0
RIDE133,DRV8,584,611.56,1.87,1.81,True,1,0
RIDE134,DRV52,294,300.44,8.01,8.5,False,0,0
RIDE135,DRV25,980,1024.53,13.23,14.32,True,0,0
RIDE136,DRV68,376,338.88,3.14,3.33,True,0,0
RIDE137,DRV43,242,220.78,3.38,3.43,False,1,0
RIDE138,DRV56,224,315.22,17.46,32.6,True,1,1
RIDE139,DRV8,633,1082.11,5.65,7.93,True,1,1
RIDE140,DRV34,968,1085.65,13.73,14.08,False,0,0
RIDE141,DRV50,585,588.23,13.33,12.72,True,0,0
RIDE142,DRV63,792,755.41,15.12,14.99,True,0,0
RIDE143,DRV14,517,481.28,2.47,2.46,True,0,0
RIDE144,DRV1,201,183.6,3.41,3.32,True,1,0
RIDE145,DRV74,289,326.34,17.77,18.89,True,0,0
RIDE146,DRV14,523,559.2,16.61,16.22,True,0,0
RIDE147,DRV62,935,902.51,19.98,21.32,True,0,0
RIDE148,DRV74,266,297.22,15.13,15.61,True,1,0
RIDE149,DRV91,652,599.16,11.67,12.25,True,0,0
RIDE150,DRV47,788,743.6,6.09,6.03,True,0,0
RIDE151,DRV53,592,627.16,1.51,1.45,False,0,0
RIDE152,DRV59,177,161.1,6.87,6.91,True,1,0
RIDE153,DRV62,450,483.07,18.68,19.48,True,1,0
RIDE154,DRV91,376,375.75,16.48,17.93,True,0,0
RIDE155,DRV91,664,1194.03,16.67,29.5,False,1,1
RIDE156,DRV6,332,541.14,17.42,23.53,True,1,1
RIDE157,DRV50,154,168.64,15.6,16.93,True,0,0
RIDE158,DRV10,670,603.24,2.85,2.93,True,1,0
RIDE159,DRV58,831,760.33,15.19,14.44,True,0,0
RIDE160,DRV35,299,297.36,3.38,3.61,True,0,0
RIDE161,DRV83,393,372.82,12.09,12.23,False,1,0
RIDE162,DRV43,475,502.32,3.39,3.26,False,1,0
RIDE163,DRV18,543,771.54,10.58,16.8,True,1,1
RIDE164,DRV37,376,407.44,18.35,18.41,True,0,0
RIDE165,DRV26,598,547.9,12.03,11.74,False,0,0
RIDE166,DRV12,867,832.2,1.37,1.5,True,0,0
RIDE167,DRV78,562,527.05,10.04,10.89,False,0,0
RIDE168,DRV99,784,1605.19,12.14,24.18,True,1,1
RIDE169,DRV14,285,289.11,15.37,14.63,True,0,0
RIDE170,DRV86,808,1385.56,13.89,21.62,False,1,1
RIDE171,DRV53,530,509.96,9.68,9.9,True,0,0
RIDE172,DRV27,646,626.74,14.09,14.67,True,0,0
RIDE173,DRV91,608,587.23,12.54,12.62,True,0,0
RIDE174,DRV72,381,417.65,19.62,19.29,True,0,0
RIDE175,DRV31,217,206.05,11.78,11.62,True,0,0
RIDE176,DRV99,658,649.29,6.34,6.16,True,0,0
RIDE177,DRV6,198,431.64,12.92,23.55,True,1,1
RIDE178,DRV33,665,599.78,17.09,17.92,True,0,0
RIDE179,DRV64,914,1705.13,9.02,16.46,True,1,1
RIDE180,DRV28,127,257.32,5.27,9.23,False,1,1
RIDE181,DRV76,463,928.56,10.8,14.17,True,1,1
RIDE182,DRV73,791,820.26,8.68,8.41,True,1,0
RIDE183,DRV51,398,431.36,7.27,7.07,True,0,0
RIDE184,DRV45,682,652.97,4.43,4.52,False,0,0
RIDE185,DRV21,438,438.48,12.74,12.74,True,0,0
RIDE186,DRV17,118,112.32,15.29,14.95,True,0,0
RIDE187,DRV98,732,717.58,13.64,14.58,True,0,0
RIDE188,DRV13,756,1214.84,14.23,27.51,True,1,1
RIDE189,DRV6,912,951.91,9.52,9.64,True,0,0
RIDE190,DRV100,676,766.55,10.79,11.73,False,0,0
RIDE191,DRV76,145,150.12,10.01,9.56,True,0,0
RIDE192,DRV36,132,129.12,16.68,16.83,True,0,0
RIDE193,DRV23,642,690.13,15.54,17.01,True,0,0
RIDE194,DRV19,861,885.28,15.26,15.66,True,0,0
RIDE195,DRV13,406,414.82,16.85,16.24,False,1,0
RIDE196,DRV25,286,606.31,14.19,23.74,True,1,1
RIDE197,DRV100,611,564.3,16.22,17.1,False,0,0
RIDE198,DRV44,484,551.52,9.03,9.6,True,0,0
RIDE199,DRV4,263,285.67,9.34,9.84,True,0,0
RIDE200,DRV62,604,670.16,8.88,8.99,True,0,0
RIDE201,DRV42,900,948.09,11.36,10.95,True,0,0
RIDE202,DRV39,649,713.81,10.05,10.21,True,0,0
RIDE203,DRV96,915,840.96,8.04,8.19,True,0,0
RIDE204,DRV29,654,711.07,2.8,3.02,False,1,0
RIDE205,DRV48,105,152.1,18.42,34.88,True,1,1
RIDE206,DRV84,874,795.95,1.38,1.45,False,1,0
RIDE207,DRV12,704,755.54,19.68,20.73,False,1,0
RIDE208,DRV80,216,206.62,18.49,20.32,False,0,0
RIDE209,DRV60,111,105.81,3.91,4.27,False,1,0
RIDE210,DRV47,727,695.12,4.27,4.12,True,0,0
RIDE211,DRV54,320,310.24,3.24,3.47,True,0,0
RIDE212,DRV61,669,652.15,15.36,16.14,False,0,0
RIDE213,DRV24,567,623.87,14.85,14.41,True,1,0
RIDE214,DRV14,420,388.84,11.73,11.62,True,0,0
RIDE215,DRV81,129,198.63,8.45,14.76,False,1,1
RIDE216,DRV35,738,794.6,10.2,10.82,True,0,0
RIDE217,DRV57,447,500.57,9.58,9.59,True,0,0
RIDE218,DRV55,261,433.46,16.36,25.79,False,1,1
RIDE219,DRV42,254,386.89,5.71,9.14,True,1,1
RIDE220,DRV5,803,1492.4,16.7,26.4,False,1,1
RIDE221,DRV29,142,133.29,15.15,15.75,True,0,0
RIDE222,DRV2,915,910.41,3.87,4.14,False,0,0
RIDE223,DRV55,597,592.53,6.58,6.37,True,0,0
RIDE224,DRV65,390,737.96,8.37,14.59,True,1,1
RIDE225,DRV75,155,161.45,3.84,3.99,False,0,0
RIDE226,DRV6,935,1373.11,12.95,19.42,True,1,1
RIDE227,DRV22,284,259.4,11.81,11.84,True,0,0
RIDE228,DRV61,700,648.29,9.73,9.44,True,0,0
RIDE229,DRV73,291,315.88,17.64,17.87,True,0,0
RIDE230,DRV86,553,527.23,11.28,10.95,False,0,0
RIDE231,DRV78,197,341.69,10.15,17.27,True,1,1
RIDE232,DRV46,933,865.32,6.59,6.46,False,0,0
RIDE233,DRV92,467,499.24,12.9,13.34,False,0,0
RIDE234,DRV64,225,244.74,4.77,4.59,False,0,0
RIDE235,DRV51,233,237.6,5.8,5.69,True,1,0
RIDE236,DRV26,170,156.72,12.31,13.02,False,0,0
RIDE237,DRV2,799,819.34,10.9,11.54,True,0,0
RIDE238,DRV89,897,844.51,7.76,7.57,True,0,0
RIDE239,DRV83,744,842.49,19.41,20.04,True,1,0
RIDE240,DRV57,551,828.91,9.22,14.74,True,1,1
RIDE241,DRV4,129,141.14,3.37,3.7,True,0,0
RIDE242,DRV45,765,854.23,14.33,15.44,False,0,0
RIDE243,DRV37,118,112.67,1.41,1.42,False,0,0
RIDE244,DRV88,918,898.76,11.36,11.89,True,0,0
RIDE245,DRV22,107,109.72,6.53,7.0,True,0,0
RIDE246,DRV8,707,777.6,14.32,15.18,True,0,0
RIDE247,DRV92,481,846.48,18.4,32.62,True,1,1
RIDE248,DRV100,925,1013.11,7.83,7.94,False,0,0
RIDE249,DRV2,546,506.8,4.62,4.39,False,1,0
RIDE250,DRV84,976,878.8,4.46,4.81,True,1,0
RIDE251,DRV86,485,491.07,11.48,12.18,True,1,0
RIDE252,DRV90,833,1721.68,15.65,28.27,True,1,1
RIDE253,DRV96,563,506.94,18.64,20.02,True,0,0
RIDE254,DRV21,460,506.25,5.21,5.46,False,0,0
RIDE255,DRV49,515,566.21,4.66,4.99,True,0,0
RIDE256,DRV99,237,233.18,4.91,4.88,True,0,0
RIDE257,DRV56,775,832.95,10.29,10.92,False,0,0
RIDE258,DRV7,152,269.79,16.76,29.34,True,1,1
RIDE259,DRV24,585,529.98,12.2,12.32,True,0,0
RIDE260,DRV45,358,334.83,7.37,7.04,True,0,0
RIDE261,DRV23,234,259.62,4.72,5.1,True,0,0
RIDE262,DRV30,636,718.12,1.71,1.67,True,1,0
RIDE263,DRV33,258,399.77,16.88,24.21,True,1,1
RIDE264,DRV24,839,1675.45,3.26,5.13,True,1,1
RIDE265,DRV91,886,977.62,17.85,17.86,True,1,0
RIDE266,DRV3,314,645.04,2.56,3.67,True,1,1
RIDE267,DRV82,373,352.58,5.79,5.98,False,0,0
RIDE268,DRV73,462,426.35,4.17,4.09,True,0,0
RIDE269,DRV84,159,165.36,19.05,19.93,True,0,0
RIDE270,DRV47,644,1129.56,10.98,21.89,True,1,1
RIDE271,DRV60,712,721.03,6.64,6.36,True,0,0
RIDE272,DRV21,832,849.74,1.7,1.84,True,0,0
RIDE273,DRV86,470,473.46,5.38,5.24,True,1,0
RIDE274,DRV38,600,663.89,5.12,5.49,True,0,0
RIDE275,DRV86,937,913.75,10.56,11.3,True,0,0
RIDE276,DRV59,768,822.5,4.12,3.92,False,0,0
RIDE277,DRV35,775,760.87,12.78,13.81,False,1,0
RIDE278,DRV87,182,188.24,15.5,15.35,True,0,0
RIDE279,DRV17,329,304.34,1.67,1.63,True,1,0
RIDE280,DRV57,855,1250.16,9.49,13.46,False,1,1
RIDE281,DRV94,877,824.8,17.39,17.54,True,0,0
RIDE282,DRV26,156,232.91,17.23,34.23,True,1,1
RIDE283,DRV66,478,498.71,9.16,9.74,True,0,0
RIDE284,DRV59,485,1007.59,2.53,3.38,True,1,1
RIDE285,DRV60,361,382.44,6.51,6.63,True,0,0
RIDE286,DRV65,943,1944.93,7.81,12.67,True,1,1
RIDE287,DRV44,574,557.43,14.24,13.98,True,0,0
RIDE288,DRV95,815,1521.72,19.66,37.14,False,1,1
RIDE289,DRV40,471,511.65,18.23,19.65,True,0,0
RIDE290,DRV8,275,277.74,15.57,15.28,True,0,0
RIDE291,DRV54,695,678.83,4.21,4.57,False,1,0
RIDE292,DRV71,772,794.65,14.5,14.92,False,0,0
RIDE293,DRV63,706,731.89,16.94,18.49,False,0,0
RIDE294,DRV14,686,764.52,11.95,12.71,False,0,0
RIDE295,DRV6,845,795.0,1.36,1.4,False,0,0
RIDE296,DRV20,989,1747.75,1.28,1.76,True,1,1
RIDE297,DRV73,582,630.67,12.63,13.41,True,0,0
RIDE298,DRV63,713,1267.8,14.2,25.35,True,1,1
RIDE299,DRV73,760,752.14,9.26,8.81,True,0,0
RIDE300,DRV20,778,1665.16,15.57,29.03,False,1,1
RIDE301,DRV19,268,303.38,3.77,4.0,False,0,0
RIDE302,DRV3,758,707.79,15.88,15.63,False,0,0
RIDE303,DRV95,389,445.65,7.77,7.54,True,0,0
RIDE304,DRV51,432,392.68,7.86,7.66,False,0,0
RIDE305,DRV87,602,549.4,9.42,10.07,True,0,0
RIDE306,DRV100,844,968.19,9.53,9.62,False,0,0
RIDE307,DRV86,578,555.97,9.76,9.94,True,1,0
RIDE308,DRV42,410,695.37,5.35,9.1,True,1,1
RIDE309,DRV86,204,406.53,9.45,14.7,True,1,1
RIDE310,DRV62,147,140.43,6.92,7.32,False,0,0
RIDE311,DRV41,342,352.04,18.75,19.99,True,1,0
RIDE312,DRV36,661,1106.42,5.71,7.65,False,1,1
RIDE313,DRV73,518,777.94,12.78,20.81,True,1,1
RIDE314,DRV34,142,128.25,7.27,7.63,True,0,0
RIDE315,DRV91,751,853.55,16.35,16.1,True,0,0
RIDE316,DRV37,282,290.14,10.8,11.11,True,1,0
RIDE317,DRV77,223,241.96,7.93,8.54,True,1,0
RIDE318,DRV44,375,411.92,13.16,13.42,False,0,0
RIDE319,DRV81,520,591.48,1.76,1.81,True,0,0
RIDE320,DRV5,285,263.47,16.61,17.88,True,0,0
RIDE321,DRV24,254,265.31,4.21,4.59,False,1,0
RIDE322,DRV77,644,607.61,4.86,5.0,True,1,0
RIDE323,DRV40,206,209.8,14.42,13.91,True,0,0
RIDE324,DRV51,678,706.25,13.35,14.11,True,0,0
RIDE325,DRV98,285,601.38,8.53,13.0,True,1,1
RIDE326,DRV61,693,1455.13,11.08,21.42,True,1,1
RIDE327,DRV68,239,398.72,18.7,37.06,True,1,1
RIDE328,DRV16,123,134.49,17.94,18.22,True,0,0
RIDE329,DRV43,631,598.79,5.39,5.86,True,0,0
RIDE330,DRV23,476,510.85,7.78,8.04,True,0,0
RIDE331,DRV2,733,804.95,9.01,8.68,False,1,0
RIDE332,DRV42,969,1086.22,2.53,2.56,True,0,0
RIDE333,DRV77,390,388.47,19.64,21.18,True,0,0
RIDE334,DRV69,182,172.6,16.96,16.83,False,1,0
RIDE335,DRV3,161,182.24,19.16,19.54,False,1,0
RIDE336,DRV100,979,1029.86,10.29,10.49,True,0,0
RIDE337,DRV19,635,627.42,6.58,6.73,True,0,0
RIDE338,DRV68,374,338.85,3.01,2.98,True,0,0
RIDE339,DRV48,100,105.21,10.89,11.31,True,1,0
RIDE340,DRV44,550,570.56,19.07,18.65,True,0,0
RIDE341,DRV82,431,431.0,8.28,8.34,True,0,0
RIDE342,DRV30,267,286.23,16.45,16.41,True,0,0
RIDE343,DRV35,167,241.78,3.61,7.08,True,1,1
RIDE344,DRV77,265,253.25,1.9,1.93,False,1,0
RIDE345,DRV82,288,616.55,10.14,18.87,True,1,1
RIDE346,DRV98,923,854.81,1.37,1.47,True,0,0
RIDE347,DRV90,835,1766.75,13.57,25.41,True,1,1
RIDE348,DRV18,430,455.82,2.8,2.87,True,0,0
RIDE349,DRV30,805,1575.33,3.96,6.99,True,1,1
RIDE350,DRV65,142,296.32,14.87,24.07,True,1,1
RIDE351,DRV100,336,574.45,15.71,25.97,True,1,1
RIDE352,DRV32,542,556.27,2.28,2.37,True,0,0
RIDE353,DRV2,102,207.76,1.43,2.47,True,1,1
RIDE354,DRV87,971,1089.17,6.61,6.58,True,1,0
RIDE355,DRV95,309,296.53,18.13,17.56,True,0,0
RIDE356,DRV35,854,890.87,4.97,5.25,False,0,0
RIDE357,DRV86,128,142.79,11.86,11.99,True,0,0
RIDE358,DRV61,396,633.8,8.39,13.64,True,1,1
RIDE359,DRV92,938,873.71,7.25,7.34,True,0,0
RIDE360,DRV73,923,1444.23,13.25,22.16,True,1,1
RIDE361,DRV74,154,162.13,4.88,5.32,False,0,0
RIDE362,DRV80,203,231.25,9.69,9.59,False,0,0
RIDE363,DRV25,848,892.27,17.3,16.94,False,1,0
RIDE364,DRV99,529,596.93,15.61,15.12,False,0,0
RIDE365,DRV30,977,880.73,1.44,1.39,True,1,0
RIDE366,DRV28,929,1402.18,11.49,18.76,True,1,1
RIDE367,DRV14,219,223.41,18.94,18.79,True,0,0
RIDE368,DRV95,300,327.48,12.11,12.84,True,0,0
RIDE369,DRV64,366,358.73,4.1,3.91,True,0,0
RIDE370,DRV91,189,178.61,11.74,12.32,True,1,0
RIDE371,DRV74,427,472.53,16.71,17.48,True,1,0
RIDE372,DRV34,198,333.52,4.37,6.46,True,1,1
RIDE373,DRV9,393,396.96,7.76,8.31,True,0,0
RIDE374,DRV52,895,882.82,7.14,7.81,True,1,0
RIDE375,DRV52,940,949.57,2.67,2.71,False,0,0
RIDE376,DRV45,627,614.69,6.47,6.25,True,0,0
RIDE377,DRV32,1000,1643.05,2.14,3.19,True,1,1
RIDE378,DRV99,651,1239.21,10.1,16.17,False,1,1
RIDE379,DRV45,111,100.67,3.02,3.12,True,0,0
RIDE380,DRV60,469,511.03,16.17,17.32,True,0,0
RIDE381,DRV94,941,1020.68,10.11,10.38,True,0,0
RIDE382,DRV52,699,638.64,6.8,7.21,True,0,0
RIDE383,DRV29,308,295.66,17.87,19.55,True,1,0
RIDE384,DRV43,863,821.13,5.77,5.78,True,0,0
RIDE385,DRV7,345,342.24,2.17,2.07,True,0,0
RIDE386,DRV49,820,1374.94,3.55,4.87,False,1,1
RIDE387,DRV57,352,323.96,10.52,11.13,True,0,0
RIDE388,DRV90,480,466.56,16.23,16.67,True,1,0
RIDE389,DRV25,357,555.6,15.39,26.67,True,1,1
RIDE390,DRV8,437,898.1,8.62,12.2,True,1,1
RIDE391,DRV97,308,293.83,12.81,13.01,True,0,0
RIDE392,DRV26,730,786.9,6.92,7.41,True,0,0
RIDE393,DRV69,730,830.61,5.56,6.1,False,0,0
RIDE394,DRV11,803,728.64,13.27,13.45,True,0,0
RIDE395,DRV97,478,752.62,17.65,27.72,True,1,1
RIDE396,DRV48,809,799.93,3.37,3.22,True,1,0
RIDE397,DRV95,278,315.59,19.76,19.88,True,0,0
RIDE398,DRV94,641,1248.7,1.38,2.08,True,1,1
RIDE399,DRV14,162,181.82,15.55,16.62,False,0,0
RIDE400,DRV69,307,653.85,11.42,18.93,True,1,1
RIDE401,DRV92,631,713.3,6.63,7.19,True,0,0
RIDE402,DRV62,982,964.09,11.87,11.53,False,1,0
RIDE403,DRV58,781,868.35,4.01,3.98,False,0,0
RIDE404,DRV9,835,788.0,6.19,6.36,True,0,0
RIDE405,DRV79,521,547.58,2.7,2.64,True,0,0
RIDE406,DRV82,595,684.22,6.87,7.09,False,0,0
RIDE407,DRV3,495,488.62,17.89,17.04,True,1,0
RIDE408,DRV73,865,1885.64,17.64,30.45,True,1,1
RIDE409,DRV48,260,273.98,1.13,1.17,True,0,0
RIDE410,DRV32,246,249.72,13.42,14.02,True,1,0
RIDE411,DRV40,969,1081.25,10.2,10.55,True,0,0
RIDE412,DRV95,250,470.8,9.34,14.08,True,1,1
RIDE413,DRV56,592,1093.99,8.81,13.44,True,1,1
RIDE414,DRV59,613,674.78,17.56,18.94,True,0,0
RIDE415,DRV45,342,380.19,16.69,16.51,False,1,0
RIDE416,DRV53,597,655.47,18.05,19.29,True,1,0
RIDE417,DRV20,422,920.14,15.36,20.35,True,1,1
RIDE418,DRV14,369,406.11,13.18,14.11,True,0,0
RIDE419,DRV29,459,421.97,2.53,2.51,True,0,0
RIDE420,DRV42,554,546.67,13.29,14.56,False,0,0
RIDE421,DRV50,570,549.91,8.17,8.91,False,0,0
RIDE422,DRV23,686,1013.69,13.24,23.14,True,1,1
RIDE423,DRV56,168,176.72,13.94,15.13,True,0,0
RIDE424,DRV81,303,503.99,14.9,25.38,False,1,1
RIDE425,DRV85,369,409.67,5.94,5.91,True,0,0
RIDE426,DRV55,202,330.87,1.03,1.72,False,1,1
RIDE427,DRV41,839,1199.02,1.84,2.96,False,1,1
RIDE428,DRV63,380,384.3,14.82,14.84,True,1,0
RIDE429,DRV64,682,766.54,10.45,10.73,True,0,0
RIDE430,DRV96,248,238.44,17.0,17.78,False,0,0
RIDE431,DRV91,636,624.18,4.67,5.01,True,0,0
RIDE432,DRV84,312,349.53,7.66,8.11,True,0,0
RIDE433,DRV8,579,617.41,6.23,5.94,True,0,0
RIDE434,DRV35,592,1208.51,3.23,4.91,True,1,1
RIDE435,DRV11,509,1025.07,10.12,17.63,True,1,1
RIDE436,DRV72,219,201.7,3.49,3.57,True,1,0
RIDE437,DRV53,956,1935.91,11.22,18.32,False,1,1
RIDE438,DRV22,204,205.08,16.58,17.82,False,0,0
RIDE439,DRV40,370,418.71,6.2,6.75,False,0,0
RIDE440,DRV87,667,627.37,15.34,15.32,False,0,0
RIDE441,DRV49,120,188.35,19.91,36.95,False,1,1
RIDE442,DRV91,506,478.34,10.78,11.09,True,0,0
RIDE443,DRV50,410,438.44,19.63,20.84,True,0,0
RIDE444,DRV5,723,690.79,4.18,4.05,True,0,0
RIDE445,DRV97,125,140.2,2.1,2.02,True,0,0
